1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,/static/images/toystory.jpg
147,"Basketball Diaries, The (1995)",Drama,/static/images/basketballdiaries.jpg
1466,Donnie Brasco (1997),Crime|Drama,/static/images/donniebrasco.jpg
2788,Monty Python's And Now for Something Completely Different (1971),Comedy,/static/images/montypython.jpg
2908,Boys Don't Cry (1999),Drama,/static/images/boysdontcry.jpg
2959,Fight Club (1999),Action|Crime|Drama|Thriller,/static/images/fightclub.jpg
26662,Kiki's Delivery Service (Majo no takkyûbin) (1989),Adventure|Animation|Children|Drama|Fantasy,/static/images/kikis.jpg
27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi,/static/images/neongenesis.jpg
27773,Old Boy (2003),Mystery|Thriller,/static/images/oldboy.jpg
99114,Django Unchained (2012),Action|Drama|Western,/static/images/django.jpg
105504,Captain Phillips (2013),Adventure|Drama|Thriller|IMAX,/static/images/captainphillips.jpg
105540,"All Dogs Christmas Carol, An (1998)",Animation|Children|Comedy|Musical,/static/images/alldogs.jpg
105585,Machete Kills (Machete 2) (2013),Action|Crime|Thriller,/static/images/machetekills.jpg
105593,Filth (2013),Comedy|Crime|Drama,/static/images/filth.jpg
105653,Escape Plan (2013),Action|Mystery|Thriller,/static/images/escapeplan.jpg
105720,"Thief of Paris, The (Le voleur) (1967)",Comedy|Crime|Drama,/static/images/theifofparis.jpg
105731,Carrie (2013),Drama|Horror,/static/images/carrie.jpg
7285,Thirteen (2003),Drama,/static/images/thirteen.jpg
7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller,/static/images/killbill.jpg
7451,Mean Girls (2004),Comedy,/static/images/meangirls.jpg